Recipient,Total,From Individuals,From Organization,Recipient Type,View
"Flowers, Marcus",10,10,0,Candidate (D-GA13),Democrat
"Kemp, Patricia",10,10,0,Candidate (D-FL15),Democrat
"Pugh, Pamela",10,10,0,Candidate (D-MI08),Democrat
Progressive Majority PAC             ,8,8,0,LeadPAC,Democrat
Democratic Party of Colorado,5,5,0,Political Party,Democrat
"Krishnamoorthi, Raja",5,5,0,Candidate (D-IL08),Democrat
VoteProChoice PAC,5,5,0,Outside Group,Liberal
"Jacobs, Sara",5,5,0,Candidate (D-CA51),Democrat
The Long Run PAC,5,5,0,LeadPAC,Democrat
Cedar Key Progress,5,5,0,Outside Group,Liberal
Hellfire PAC,5,5,0,LeadPAC,Republican
"Sykes, Emilia",4,4,0,Candidate (D-OH13),Democrat
"Landsman, Greg",4,4,0,Candidate (D-OH01),Democrat
"Garcia, Mike",4,4,0,Candidate (R-CA27),Republican
"Johnson, Hank",3,3,0,Candidate (D-GA04),Democrat
"Theriault, Austin",3,3,0,Candidate (R-ME02),Republican
"Kiggans, Jen",3,3,0,Candidate (R-VA02),Republican
"Lofgren, Zoe",3,3,0,Candidate (D-CA18),Democrat
"Molinaro, Marc",3,3,0,Candidate (R-NY19),Republican
"Nunn, Zach",3,3,0,Candidate (R-IA03),Republican
"Williams, Brandon",3,3,0,Candidate (R-NY22),Republican
"Hutchinson, W. Asa",2,2,0,Candidate (R-PRES),Republican
"Suarez, Francis X.",2,2,0,Candidate (R-PRES),Republican
"Kiley, Kevin",1,1,0,Candidate (R-CA03),Republican
"Calvert, Ken",1,1,0,Candidate (R-CA41),Republican
"Duarte, John",1,1,0,Candidate (R-CA13),Republican
